Product, Quantity, Retail_Price, Time
Beef Tacos (3-pack), 7, 12.99, 15:30:00
Beef Tacos (3-pack), 8, 12.99, 15:30:00
Beef Tacos (3-pack), 14, 12.99, 19:00:00
Beef Tacos (3-pack), 14, 12.99, 19:30:00
Black Beans (side), 45, 3.99, 19:00:00
Cheese Pizza - Large (16"), 2, 16.99, 20:30:00
Cheese Pizza - Large (16"), 9, 16.99, 18:30:00
Cheese Pizza - Large (16"), 5, 16.99, 12:00:00
Cheese Pizza - Large (16"), 3, 16.99, 20:30:00
Cheese Pizza - Small (10"), 20, 9.99, 12:30:00
Cheese Pizza - Small (10"), 5, 9.99, 17:00:00
Cheese Pizza - Small (10"), 18, 9.99, 19:00:00
Cheese Pizza - Small (10"), 4, 9.99, 14:00:00
Chicken Burrito, 9, 9.89, 15:30:00
Chicken Pasta Alfredo, 5, 14.44, 15:30:00
Chicken Pasta Alfredo, 3, 16.99, 17:00:00
Chicken Pasta Alfredo, 4, 16.99, 15:30:00
Classic Burger, 12, 12.99, 12:30:00
Classic Burger, 13, 12.99, 12:00:00
Classic Burger, 15, 12.99, 18:30:00
Fish and Chips, 9, 14.99, 11:30:00
Fish and Chips, 2, 14.99, 17:00:00
Fish and Chips, 4, 14.99, 10:00:00
Pepperoni Pizza - Medium (14"), 13, 15.99, 19:00:00
Pepperoni Pizza - Medium (14"), 4, 15.99, 17:00:00
Pepperoni Pizza - Medium (14"), 10, 15.99, 18:00:00
Pepperoni Pizza - Medium (14"), 3, 13.59, 17:00:00
Pepperoni Pizza - Medium (14"), 5, 15.99, 17:00:00
Spanish Rice (side), 44, 3.99, 12:30:00
Spanish Rice (side), 44, 3.99, 11:30:00
Spanish Rice (side), 32, 3.99, 12:00:00
Supreme Pizza - Large (16"), 6, 20.99, 18:00:00
