ingredient_code,ingredient_name,category,quantity_on_hand,unit_of_measure,unit_cost,total_value,supplier_name,storage_location
ING-CHE-001,"Cheddar Cheese",Dairy,25.0,lbs,5.25,131.25,"US Foods","Walk-in Cooler C"
ING-SCR-001,"Sour Cream",Dairy,5.0,gallons,12.5,62.5,"US Foods","Walk-in Cooler C"
ING-FLO-001,"All-Purpose Flour","Dry Goods",200.0,lbs,0.45,90.0,"Restaurant Depot","Dry Storage A"
ING-BEA-001,"Black Beans (dried)","Dry Goods",50.0,lbs,1.2,60.0,"Restaurant Depot","Dry Storage A"
ING-BUN-001,"Burger Buns","Dry Goods",30.0,dozen,2.5,75.0,"US Foods","Dry Storage A"
ING-TOR-001,"Flour Tortillas (10-inch)","Dry Goods",50.0,dozen,3.0,150.0,"US Foods","Dry Storage A"
ING-RIC-001,"White Rice","Dry Goods",100.0,lbs,0.75,75.0,"Restaurant Depot","Dry Storage A"
ING-CHK-001,"Chicken Breast",Meat,60.0,lbs,3.25,195.0,"Sysco Foods","Walk-in Cooler B"
ING-BEF-001,"Ground Beef 80/20",Meat,100.0,lbs,4.5,450.0,"Sysco Foods","Walk-in Cooler B"
ING-POR-001,"Pulled Pork",Meat,40.0,lbs,5.75,230.0,"Sysco Foods","Walk-in Cooler B"
PKG-BAG-001,"Paper Bags",Packaging,300.0,units,0.15,45.0,"Packaging Solutions Inc","Packaging Area"
PKG-CUP-001,"Sauce Cups 2oz",Packaging,1000.0,units,0.08,80.0,"Packaging Solutions Inc","Packaging Area"
PKG-BOX-001,"To-Go Boxes (9x6)",Packaging,500.0,units,0.35,175.0,"Packaging Solutions Inc","Packaging Area"
ING-GAR-001,"Fresh Garlic",Produce,10.0,lbs,3.75,37.5,"Fresh Produce Wholesalers","Walk-in Cooler A"
ING-LET-001,"Iceberg Lettuce",Produce,36.0,heads,1.5,54.0,"Fresh Produce Wholesalers","Walk-in Cooler A"
ING-JAL-001,"Jalapeño Peppers",Produce,8.0,lbs,2.0,16.0,"Fresh Produce Wholesalers","Walk-in Cooler A"
ING-TOM-001,"Roma Tomatoes",Produce,75.0,lbs,2.5,187.5,"Fresh Produce Wholesalers","Walk-in Cooler A"
ING-ONI-001,"Yellow Onions",Produce,50.0,lbs,1.25,62.5,"Fresh Produce Wholesalers","Walk-in Cooler A"
ING-PEP-001,"Black Pepper",Spices,32.0,oz,1.25,40.0,"Restaurant Depot","Spice Rack"
ING-CHI-001,"Chili Powder",Spices,48.0,oz,0.65,31.2,"Restaurant Depot","Spice Rack"
ING-CUM-001,"Ground Cumin",Spices,32.0,oz,0.85,27.2,"Restaurant Depot","Spice Rack"
ING-SAL-001,Salt,Spices,20.0,lbs,0.5,10.0,"Restaurant Depot","Spice Rack"
