ingredient_code,ingredient_name,category,quantity_on_hand,unit_of_measure,unit_cost,total_value,supplier_name,storage_location,reorder_level,date_received,lot_number,expiration_date
ING-CHE-001,"Cheddar Cheese",Dairy,25.0,lbs,5.25,131.25,"US Foods","Walk-in Cooler C",15.0,2024-01-08,LOT-CHE-20240108,2024-02-08
ING-SCR-001,"Sour Cream",Dairy,5.0,gallons,12.5,62.5,"US Foods","Walk-in Cooler C",3.0,2024-01-08,LOT-SCR-20240108,2024-01-22
ING-FLO-001,"All-Purpose Flour","Dry Goods",200.0,lbs,0.45,90.0,"Restaurant Depot","Dry Storage A",50.0,2024-01-05,LOT-FLO-20240105,2024-07-05
ING-BEA-001,"Black Beans (dried)","Dry Goods",50.0,lbs,1.2,60.0,"Restaurant Depot","Dry Storage A",20.0,2024-01-05,LOT-BEA-20240105,2024-12-05
ING-BUN-001,"Burger Buns","Dry Goods",30.0,dozen,2.5,75.0,"US Foods","Dry Storage A",15.0,2024-01-09,LOT-BUN-20240109,2024-01-16
ING-TOR-001,"Flour Tortillas (10-inch)","Dry Goods",50.0,dozen,3.0,150.0,"US Foods","Dry Storage A",20.0,2024-01-08,LOT-TOR-20240108,2024-01-22
ING-RIC-001,"White Rice","Dry Goods",100.0,lbs,0.75,75.0,"Restaurant Depot","Dry Storage A",40.0,2024-01-05,LOT-RIC-20240105,2024-12-05
ING-CHK-001,"Chicken Breast",Meat,100.0,lbs,3.25,325.0,"Sysco Foods","Walk-in Cooler B",30.0,2024-01-09,LOT-CHK-20240109,2024-01-16
ING-BEF-001,"Ground Beef 80/20",Meat,150.0,lbs,4.5,675.0,"Sysco Foods","Walk-in Cooler B",40.0,2024-01-09,LOT-BEEF-20240109,2024-01-16
ING-POR-001,"Pulled Pork",Meat,63.0,lbs,5.75,362.25,"Sysco Foods","Walk-in Cooler B",20.0,2024-01-09,LOT-PORK-20240109,2024-01-23
PKG-BAG-001,"Paper Bags",Packaging,300.0,units,0.15,45.0,"Packaging Solutions Inc","Packaging Area",150.0,2024-01-03,LOT-BAG-20240103,
PKG-CUP-001,"Sauce Cups 2oz",Packaging,1000.0,units,0.08,80.0,"Packaging Solutions Inc","Packaging Area",400.0,2024-01-03,LOT-CUP-20240103,
PKG-BOX-001,"To-Go Boxes (9x6)",Packaging,500.0,units,0.35,175.0,"Packaging Solutions Inc","Packaging Area",200.0,2024-01-03,LOT-BOX-20240103,
ING-GAR-001,"Fresh Garlic",Produce,10.0,lbs,3.75,37.5,"Fresh Produce Wholesalers","Walk-in Cooler A",5.0,2024-01-10,LOT-GAR-20240110,2024-01-24
ING-LET-001,"Iceberg Lettuce",Produce,36.0,heads,1.5,54.0,"Fresh Produce Wholesalers","Walk-in Cooler A",12.0,2024-01-10,LOT-LET-20240110,2024-01-15
ING-JAL-001,"Jalapeño Peppers",Produce,8.0,lbs,2.0,16.0,"Fresh Produce Wholesalers","Walk-in Cooler A",5.0,2024-01-10,LOT-JAL-20240110,2024-01-20
ING-TOM-001,"Roma Tomatoes",Produce,75.0,lbs,2.5,187.5,"Fresh Produce Wholesalers","Walk-in Cooler A",20.0,2024-01-10,LOT-TOM-20240110,2024-01-17
ING-ONI-001,"Yellow Onions",Produce,50.0,lbs,1.25,62.5,"Fresh Produce Wholesalers","Walk-in Cooler A",15.0,2024-01-10,LOT-ONI-20240110,2024-01-24
ING-PEP-001,"Black Pepper",Spices,32.0,oz,1.25,40.0,"Restaurant Depot","Spice Rack",16.0,2023-12-15,LOT-PEP-20231215,2025-12-15
ING-CHI-001,"Chili Powder",Spices,48.0,oz,0.65,31.2,"Restaurant Depot","Spice Rack",24.0,2023-12-15,LOT-CHI-20231215,2025-12-15
ING-CUM-001,"Ground Cumin",Spices,32.0,oz,0.85,27.2,"Restaurant Depot","Spice Rack",16.0,2023-12-15,LOT-CUM-20231215,2025-12-15
ING-SAL-001,Salt,Spices,20.0,lbs,0.5,10.0,"Restaurant Depot","Spice Rack",10.0,2023-12-15,LOT-SAL-20231215,2026-12-15
